file_path,method_name,start_line,end_line,cc,lloc,scloc,comments,calculated_length,volume,difficulty,effort,time,bugs,smell_label,ml_confidence,repo_name,coverage_percent,coverage_bucket,risk_category,recommendations
src/attr/_make.py,_attrs_to_init_script,2237,2524,46,133,234,28,161,1011.949757236822,5.274647887323944,5337.678649087182,296.53770272706566,0.3373165857456073,HIGH,0.9306,attrs,40.97,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/lexer.py,tokeniter,667,866,14,104,129,42,140,863.7895002019237,10.02542372881356,8659.85575202437,481.1030973346872,0.2879298334006412,HIGH,0.9169,jinja2,40.5,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/compiler.py,visit_For,1156,1293,4,96,108,13,33,149.27754454988144,3.7058823529411766,553.205018037796,30.73361211321089,0.0497591815166271,HIGH,0.9936,jinja2,67.39,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/ext.py,parse,354,474,7,83,97,8,62,291.42726252474773,9.11111111111111,2655.226169669924,147.51256498166242,0.0971424208415825,HIGH,0.9351,jinja2,59.5,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/compiler.py,visit_Template,826,942,4,80,90,14,47,232.8472265881832,4.375,1018.7066163233012,56.59481201796118,0.077615742196061,HIGH,0.9972,jinja2,62.39,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/attr/_make.py,_create_slots_class,867,1011,6,69,90,36,51,263.6661750735579,4.714285714285714,1242.99768248963,69.05542680497945,0.0878887250245193,HIGH,0.9959,attrs,41.38,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/compiler.py,macro_body,611,692,4,56,65,7,36,160.5395382709427,4.5,722.4279222192422,40.13488456773568,0.0535131794236475,HIGH,0.9939,jinja2,63.41,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/attr/_make.py,attrs,1306,1715,4,55,120,8,101,561.0134740194414,4.047619047619048,2270.7688234120246,126.15382352289026,0.1870044913398138,HIGH,0.9568,attrs,12.2,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests; Consider decomposing this method; add focused unit tests per responsibility
src/jinja2/utils.py,urlize,221,339,24,51,62,8,43,220.55916972863355,5.8,1279.2431844260743,71.06906580144859,0.0735197232428778,HIGH,0.9884,jinja2,33.61,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
src/jinja2/compiler.py,visit_Output,1478,1555,4,49,55,14,39,171.30037948837168,7.6923076923076925,1317.6952268336283,73.20529037964602,0.0571001264961238,HIGH,0.9674,jinja2,55.13,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
