File_Path,Method_Name,start_line,end_line,is_Long_Method,CC,lloc,scloc,comments,calculated_length,volume,difficulty,effort,time,bugs
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/f2py/capi_maps.py,getarrdims,281,339,1,20,55,57,3,56,280.0,6.8478260869565215,1917.391304347826,106.52173913043478,0.09333333333333334
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/ma/tests/test_core.py,test_compressed,3285,3292,0,2,7,7,1,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_multiarray.py,test_non_contiguous_array,4289,4300,0,2,8,8,2,7,18.094737505048094,1.0,18.094737505048094,1.0052631947248942,0.006031579168349364
/home/karthikpk/project-workspace/workspace/target-repos/requests/tests/test_utils.py,test__parse_content_type_header,606,607,0,2,2,2,0,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
/home/karthikpk/project-workspace/workspace/target-repos/django/django/contrib/admin/templatetags/admin_list.py,result_list_tag,341,348,0,1,2,8,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/django/django/core/serializers/base.py,end_serialization,182,186,0,4,3,2,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/random/tests/test_randomstate.py,test_weibull,1291,1297,0,2,5,7,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/django/django/db/models/sql/compiler.py,get_combinator_sql,549,627,1,12,45,66,13,54,253.823744779619,4.0476190476190474,1027.3818241079816,57.07676800599898,0.08460791492653967
/home/karthikpk/project-workspace/workspace/target-repos/click/tests/test_chain.py,debug,8,12,0,1,2,5,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/distutils/command/build_src.py,build_extension_sources,304,342,0,9,26,26,2,11,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_mem_overlap.py,test_unary_gufunc_fuzz,732,773,0,4,36,30,2,77,404.09041853515606,9.981481481481481,4033.421029452761,224.07894608070896,0.13469680617838536
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/linalg/lapack_lite/clapack_scrub.py,repl,266,269,0,1,3,4,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_unicode.py,content_check,185,204,0,2,10,10,9,36,150.11730005192322,1.5,225.17595007788483,12.509775004326935,0.05003910001730774
/home/karthikpk/project-workspace/workspace/target-repos/click/src/click/formatting.py,measure_table,12,19,0,4,7,6,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/f2py/tests/test_crackfortran.py,test_encoding_comment,286,287,0,2,2,2,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/random/tests/test_direct.py,test_getstate,348,352,0,2,5,5,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_ufunc.py,test_where_param_alloc,1550,1559,0,2,7,7,2,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_function_base.py,test_start_stop_array_scalar,232,246,0,2,13,13,1,8,12.67970000576925,1.0,12.67970000576925,0.7044277780982917,0.00422656666858975
/home/karthikpk/project-workspace/workspace/target-repos/django/django/db/models/lookups.py,get_rhs_op,557,558,0,2,2,2,0,3,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/core/tests/test_multiarray.py,__eq__,4062,4064,0,2,3,3,0,3,3.0,1.0,3.0,0.16666666666666666,0.001
/home/karthikpk/project-workspace/workspace/target-repos/click/examples/imagepipe/imagepipe.py,sharpen_cmd,255,260,0,2,6,5,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/lib/index_tricks.py,__getitem__,147,208,1,11,57,59,3,69,328.08723764927936,6.571428571428571,2156.00184740955,119.77788041164166,0.10936241254975979
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/f2py/crackfortran.py,cracktypespec,1860,1916,1,18,51,56,1,44,209.21505009519265,4.0,836.8602003807706,46.492233354487254,0.06973835003173089
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/ma/tests/test_subclassing.py,__setitem__,122,125,0,2,2,2,2,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/flask/src/flask/cli.py,find_app_by_string,112,185,1,13,39,54,8,4,6.339850002884625,0.5,3.1699250014423126,0.17610694452457293,0.002113283334294875
/home/karthikpk/project-workspace/workspace/target-repos/click/src/click/shell_completion.py,get_completion_args,378,388,0,4,8,7,2,9,27.0,1.8,48.6,2.7,0.009
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/lib/recfunctions.py,_get_fields_and_offsets,851,886,0,6,25,24,3,24,100.07820003461549,3.076923076923077,307.9329231834323,17.107384621301794,0.0333594000115385
/home/karthikpk/project-workspace/workspace/target-repos/django/django/db/models/base.py,__eq__,593,601,0,9,9,9,0,14,48.43204266092217,2.5714285714285716,124.53953827094274,6.918863237274596,0.016144014220307392
/home/karthikpk/project-workspace/workspace/target-repos/click/tests/test_basic.py,test_choice_argument,385,403,0,6,13,16,0,14,46.50699332842308,1.9285714285714286,89.6920585619588,4.982892142331044,0.01550233110947436
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/ma/core.py,__init__,6744,6747,0,4,4,4,0,0,0,0,0,0.0,0.0
/home/karthikpk/project-workspace/workspace/target-repos/numpy/numpy/polynomial/tests/test_laguerre.py,test_lagder_axis,332,342,0,6,8,8,1,0,0,0,0,0.0,0.0
